tupleNew__locationName,tupleNew__ribbon,tupleNew__propType,tupleNew__bOld,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__area2Type 2,tupleNew__possessionBy
Wadhwa Pristine,RESALE,"in Mahalaxmi Sindhi Colony, Matunga, Mumbai",1 BHK Flat,₹2.75 Cr,"₹54,672 /sqft",502 sqft,(47 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Godrej Urban Park,RESALE,"in Chandivali, Mumbai",1 BHK Flat,₹1.45 Cr,"₹32,222 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Satellite Gardens,RESALE,"in Gokuldham Colony, Goregaon East",1 BHK Flat,₹1.2 Cr,"₹26,966 /sqft",445 sqft,(41 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Good Relations 2,RESALE,"in Govandi East, Mumbai",1 BHK Flat,₹1.12 Cr,"₹24,000 /sqft",465 sqft,(43 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Truearth Views,RESALE,"in Kannamwar Nagar 2, Vikhroli East",1 BHK Flat,₹98 Lac,"₹21,777 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Pentagon Mantri Parijat,RESALE,"in Santacruz West, Mumbai",1 BHK Flat,₹3.15 Cr,"₹48,837 /sqft",645 sqft,(60 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Vaishno Heights,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹1.22 Cr,"₹28,372 /sqft",430 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Rubberwala Nebula,RESALE,"in Bhuleshwar, Mumbai",1 BHK Flat,₹2.25 Cr,"₹44,703 /sqft",503 sqft,(47 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
seventh avenue,RESALE,"in Byculla, Mumbai",1 BHK Flat,₹1.45 Cr,"₹37,467 /sqft",387 sqft,(36 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Siddharth Grandeur,RESALE,"in Girgaon, Mumbai",1 BHK Flat,₹2.2 Cr,"₹47,826 /sqft",460 sqft,(43 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Siddharth Grandeur,RESALE,"in Girgaon, Mumbai",1 BHK Flat,₹2.33 Cr,"₹47,551 /sqft",490 sqft,(46 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Siddharth Grandeur,RESALE,"in Girgaon, Mumbai",1 BHK Flat,₹2.12 Cr,"₹47,747 /sqft",444 sqft,(41 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Siddharth Grandeur,RESALE,"in Girgaon, Mumbai",1 BHK Flat,₹1.93 Cr,"₹48,250 /sqft",400 sqft,(37 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Sawla primestone,RESALE,"in Kurla west, Mumbai",1 BHK Flat,₹1.15 Cr,"₹27,845 /sqft",600 sqft,(56 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
