tupleNew__locationName,tupleNew__propType,tupleNew__bOld,tupleNew__rera src,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__possessionBy
Asshna Samadhan,"in Goregaon West, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹2.65 Cr,"₹40,030 /sqft",662 sqft,(62 sqm),Carpet Area,2 BHK,Ready To Move
Gulmohar CHS,"in Andheri West, Mumbai",2 BHK Flat,,₹3.1 Cr,"₹30,622 /sqft","1,045 sqft",(97 sqm),Built-up Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Matruchayya, Daftari Road","in Malad East, Mumbai",2 BHK Flat,,₹1.2 Cr,"₹26,666 /sqft",450 sqft,(42 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
hemu meadows,"in Jogeshwari West, Mumbai",2 BHK Flat,,₹3 Cr,"₹31,578 /sqft",950 sqft,(88 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SHILP SANGEET,"in Borivali West, Mumbai",2 BHK Flat,,₹1.59 Cr,"₹27,894 /sqft",570 sqft,(53 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sneh Bandhan Society,"in Mhada Colony, Mulund",2 BHK Flat,,₹1.65 Cr,"₹15,789 /sqft","1,045 sqft",(97 sqm),Built-up Area,2 BHK,Ready To Move
Ganesh krupa Society,"in Postal Colony, Chembur East",2 BHK Flat,,₹1.8 Cr,"₹25,714 /sqft",700 sqft,(65 sqm),Carpet Area,2 BHK,Ready To Move
Kanakia Seven,"in Andheri Kurla Road, Andheri East",2 BHK Flat,,₹2.7 Cr,"₹33,600 /sqft",804 sqft,(75 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
Pranav Neon Heights,"in Borivali West, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹2.65 Cr,"₹40,958 /sqft",647 sqft,(60 sqm),Carpet Area,2 BHK,Ready To Move
Hari Hari Niwas,"in Daulat Nagar, Borivali East",2 BHK Flat,,₹1.58 Cr,"₹29,259 /sqft",540 sqft,(50 sqm),Carpet Area,2 BHK,Under Construction
Windermere CHS,"in Oshiwara, Jogeshwari",2 BHK Flat,,₹3.6 Cr,"₹40,909 /sqft",880 sqft,(82 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Varsova Gurudristi CHS,"in Lokhandwala Andheri West, Mumbai",2 BHK Flat,,₹2 Cr,"₹28,571 /sqft",700 sqft,(65 sqm),Carpet Area,2 BHK,Ready To Move
Balaji Chs,"in Kalina, Santacruz East",2 BHK Flat,,₹1.7 Cr,"₹30,357 /sqft",560 sqft,(52 sqm),Carpet Area,2 BHK,Ready To Move
Jeevan CHS,"in St Pius Colony, Mulund West",2 BHK Flat,,₹1.9 Cr,"₹27,142 /sqft",700 sqft,(65 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
